【INFO】2025-11-15 11:23:13,011 - config.py - 'API_TOKEN' 未设置，已随机生成新的【API_TOKEN】nCgsRdpxD0iLzrn_VJ9N2A
【INFO】2025-11-15 11:23:15,544 - 294b007932ef_2_0_0.py - 【超级管理员初始密码】FGGBM0BgY-i9aNF_GrzTTw 请登录系统后在设定中修改。 注：该密码只会显示一次，请注意保存。
【INFO】2025-11-15 11:23:16,322 - category.py - 已加载二级分类策略 category.yaml
【INFO】2025-11-15 11:23:16,323 - torrents.py - 开始清理种子缓存数据 ...
【INFO】2025-11-15 11:23:16,323 - torrents.py - 种子缓存数据清理完成
【INFO】2025-11-15 11:23:19,001 - modules_initializer.py - 认证资源版本：2.4.2
【INFO】2025-11-15 11:23:19,001 - modules_initializer.py - 站点资源版本：2.1.2
【INFO】2025-11-15 11:23:19,001 - resource.py - 开始检测资源包版本...
【INFO】2025-11-15 11:23:19,001 - resource.py - 最新资源包版本：v123
【INFO】2025-11-15 11:23:19,001 - resource.py - user.sites.v2.bin 资源包有更新，最新版本：v2.1.6
【INFO】2025-11-15 11:23:19,001 - resource.py - 开始更新资源文件：user.sites.v2.bin ...
【INFO】2025-11-15 11:23:19,001 - resource.py - 资源包更新完成，开始重启服务...
【WARNING】2025-11-15 11:23:19,001 - system.py - 检查重启策略失败: Error while fetching server API version: HTTPConnectionPool(host='127.0.0.1', port=38379): Max retries exceeded with url: /version (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xffff82789310>: Failed to establish a new connection: [Errno 111] Connection refused'))
【INFO】2025-11-15 11:23:19,001 - system.py - 容器未配置自动重启策略，使用Docker API重启...
【INFO】2025-11-15 11:23:19,001 - modules_initializer.py - 用户认证失败，站点认证参数未设置，无法自动进行用户认证！
【INFO】2025-11-15 11:23:19,001 - subscribe.py - 当前用户UUID: 8b1835a36566459d1347fb20c3e538093ed72c5d78eb7056e05ca4e4bf905e04
【INFO】2025-11-15 11:23:19,001 - chain - NotificationType.Manual 的消息已设置发送给管理员
【INFO】2025-11-15 11:23:19,001 - message.py - 发送消息：{'message': Notification(channel=None, source=None, mtype=<NotificationType.Manual: '手动处理'>, ctype=None, title='MoviePilot用户认证', text='用户认证失败，站点相关功能将无法使用！', image=None, link=None, userid=None, username=None, date=None, action=1, targets={}, buttons=None, original_message_id=None, original_chat_id=None)}
【INFO】2025-11-15 11:23:19,001 - system.py - 插件备份目录不存在，跳过恢复
【INFO】2025-11-15 11:23:19,001 - monitor.py - 未找到任何目录监控配置
【INFO】2025-11-15 11:23:21,243 - plugin.py - 共获取到 183 个线上插件
【INFO】2025-11-15 11:23:26,604 - douban - 开始发现豆瓣 电影 ...
【INFO】2025-11-15 11:23:27,733 - douban - 开始发现豆瓣 电视剧 ...
【INFO】2025-11-15 11:23:35,005 - douban - 开始发现豆瓣 电影 ...
【INFO】2025-11-15 11:23:36,411 - douban - 开始发现豆瓣 电视剧 ...
【INFO】2025-11-15 11:23:43,384 - douban - 开始发现豆瓣 电影 ...
【INFO】2025-11-15 11:23:44,940 - douban - 开始发现豆瓣 电视剧 ...
【INFO】2025-11-15 11:23:50,146 - douban - 开始发现豆瓣 电影 ...
【INFO】2025-11-15 11:23:51,920 - douban - 开始发现豆瓣 电视剧 ...
【INFO】2025-11-15 11:23:56,941 - douban - 开始发现豆瓣 电影 ...
【INFO】2025-11-15 11:23:58,219 - douban - 开始发现豆瓣 电视剧 ...
【INFO】2025-11-15 11:25:19,145 - subscribe.py - 开始预缓存订阅日历 ...
【INFO】2025-11-15 11:25:19,146 - subscribe.py - 订阅日历预缓存完成
【INFO】2025-11-15 11:28:18,797 - site.py - 开始同步CookieCloud站点 ...
【ERROR】2025-11-15 11:28:18,809 - site.py - CookieCloud同步失败：CookieCloud参数不正确
【INFO】2025-11-15 11:33:18,791 - scheduler.py - 用户未认证，正在尝试认证...
【ERROR】2025-11-15 11:33:18,794 - scheduler.py - 用户认证失败，站点认证参数未设置，无法自动进行用户认证！，共失败 1 次
【INFO】2025-11-15 11:43:18,793 - scheduler.py - 用户未认证，正在尝试认证...
【ERROR】2025-11-15 11:43:18,795 - scheduler.py - 用户认证失败，站点认证参数未设置，无法自动进行用户认证！，共失败 2 次
【INFO】2025-11-15 11:47:31,324 - system.py - 已备份插件目录: apprisemsg
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: autoclean
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: autosignin
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: autosubv2
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: bangumicoll
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: barkmsg
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: brushflow
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: bugreporter
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: categoryeditor
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: chatgpt
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: chinesesubfinder
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: clashruleprovider
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: cleaninvalidplugin
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: cleaninvalidseed
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: cloudflarespeedtest
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: contractcheck
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: crossseed
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: customhosts
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: customindexer
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: customsites
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: dailyword
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: dingdingmsg
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: doubanrank
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: doubansync
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: downloadingmsg
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: downloadsitetag
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: dynamicwechat
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: episodegroupmeta
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: feishumsg
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: ffmpegthumb
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: gotifymsg
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: historytov2
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: imdbsource
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: invitessignin
【INFO】2025-11-15 11:47:31,325 - system.py - 已备份插件目录: ipdetect
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: iyuuauth
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: iyuuautoseed
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: iyuumsg
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: lexiannot
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: libraryscraper
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: linkmonitor
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: mediaservermsg
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: mediaserverrefresh
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: meowmsg
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: moviepilotupdatenotify
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: mpserverstatus
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: multiclass
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: neodbsync
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: ntfymsg
【INFO】2025-11-15 11:47:31,326 - system.py - 已备份插件目录: personmeta
【INFO】2025-11-15 11:47:34,326 - system.py - 已备份插件目录: playletcategory
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: pushdeermsg
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: pushplusmsg
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: qbcommand
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: remoteidentifiers
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: removelink
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: rsssubscribe
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: siterefresh
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: sitestatistic
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: speedlimiter
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: subscribeclear
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: synccookiecloud
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: tmdbwallpaper
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: tobypasstrackers
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: torrentremover
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: torrenttransfer
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: trackereditor
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: trendingshow
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: tvdbdiscover
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: webhook
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: workwechatmsg
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: wxpushermsg
【INFO】2025-11-15 11:47:34,327 - system.py - 已备份插件目录: zvideohelper
【INFO】2025-11-15 11:47:34,327 - system.py - 插件备份完成，备份位置: /config/plugins_backup
【INFO】2025-11-15 11:47:34,327 - scheduler.py - 正在停止定时任务...
【INFO】2025-11-15 11:47:34,328 - scheduler.py - 定时任务停止完成
【INFO】2025-11-15 11:47:34,328 - plugin.py - 正在停止所有插件...
【INFO】2025-11-15 11:47:34,328 - plugin.py - 插件停止完成
【INFO】2025-11-15 11:47:34,328 - plugin.py - 未启用插件文件修改监测，无需停止
【INFO】2025-11-15 11:47:34,328 - module.py - 正在停止所有模块...
【INFO】2025-11-15 11:47:34,328 - thetvdb - TheTvDbModule 停止。正在清除 TVDB 会话。
【INFO】2025-11-15 11:47:34,328 - module.py - 所有模块停止完成
【INFO】2025-11-15 11:47:34,328 - event.py - 正在停止事件处理...
【INFO】2025-11-15 11:47:34,328 - event.py - 事件处理停止完成
【INFO】2025-11-15 11:47:34,328 - display.py - 正在停止虚拟显示...
【INFO】2025-11-15 11:47:34,328 - display.py - 虚拟显示已停止
